Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,Amazon RDS for PostgreSQL,0,9760,117120,USD,"Storage volume (General Purpose SSD (gp2)), Storage amount (1 TB per month), Nodes (2), Instance Type (db.m5.8xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Multi-AZ), Pricing Model (OnDemand), Additional backup storage (10 TB)"
My Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,78.93,947.16,USD,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),,Data Transfer,0,2,24,USD,"DT Inbound: Internet (1 TB per month), DT Outbound: Amazon CloudFront (1 TB per month), DT Intra-Region: (100 GB per month)"
My Estimate,US East (N. Virginia),,Amazon CloudFront,0,108.52,1302.24,USD,"Data transfer out to internet (1 TB per month), Data transfer out to origin (1 TB per month), Number of requests (HTTPS) (1000000 per month)"
My Estimate,US East (N. Virginia),,Amazon EC2,0,6046.4,72556.8,USD,"Operating system (Linux), Quantity (10), Pricing strategy (On-Demand Instances), Storage amount (1 TB), Instance type (m5a.4xlarge)"
My Estimate,US East (N. Virginia),,Application Load Balancer,0,266.45,3197.4,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),,S3 Standard,0,238.28,2859.36,USD,S3 Standard storage (10 TB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,92.16,1105.92,USD,"DT Inbound: Internet (1 TB per month), DT Outbound: Internet (1 TB per month)"
My Estimate,US East (N. Virginia),,Amazon CloudWatch,0,1587.857,19054.28,USD,"Number of Metrics (includes detailed and custom metrics) (3000), Standard Logs: Data Ingested (10 GB), Logs Delivered to S3: Data Ingested (10 GB), Number of Dashboards (2), Number of Standard Resolution Alarm Metrics (600), Number of High Resolution Alarm Metrics (400), Number of composite alarms (1000), Number of Canary runs (10)"
,,,,,,,,
,,,,,,,,
,,,,,,,,
Acknowledgement,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,
,,,,,,,,
Total Monthly,18180.597,,,,,,,
Changes has been made is to increase resources:,,,,,,,,
"RDS increase backup storage to 10 TB, upgrade to db.m5.8xlarge with 128GB of memory and 32 vCPU ",,,,,,,,
Aded 4 EC2 instances,,,,,,,,
Add CloudWatch to make notification available while any incidents come.,,,,,,,,
